mV','seconds'
7.0133,0.085
7.0133,0.08525
7.01,0.0855
7.0117,0.08575
7.0083,0.086
7.0083,0.08625
7.01,0.0865
7.0083,0.08675
7.0167,0.087
7.015,0.08725
7.02,0.0875
7.02,0.08775
7.025,0.088
7.025,0.08825
7.0267,0.0885
7.0283,0.08875
7.0317,0.089
7.03,0.08925
7.0317,0.0895
7.0283,0.08975
7.0333,0.09
7.0317,0.09025
7.0367,0.0905
7.0367,0.09075
7.0417,0.091
7.0417,0.09125
7.045,0.0915
7.0433,0.09175
7.0383,0.092
7.04,0.09225
7.0317,0.0925
7.0317,0.09275
7.02,0.093
7.02,0.09325
7.0067,0.0935
7.0067,0.09375
6.9967,0.094
6.9967,0.09425
6.99,0.0945
6.9917,0.09475
6.995,0.095
6.9917,0.09525
6.9967,0.0955
6.995,0.09575
6.9983,0.096
6.9933,0.09625
6.995,0.0965
6.9933,0.09675
6.9917,0.097
6.9917,0.09725
6.99,0.0975
6.99,0.09775
6.9917,0.098
6.9917,0.09825
6.995,0.0985
6.995,0.09875
6.9933,0.099
6.9933,0.09925
6.9967,0.0995
6.995,0.09975
6.99,0.1
6.9917,0.10025
6.9883,0.1005
6.9867,0.10075
6.97,0.101
6.97,0.10125
6.9633,0.1015
6.9633,0.10175
6.965,0.102
6.9667,0.10225
6.97,0.1025
6.97,0.10275
6.9783,0.103
6.9783,0.10325
6.9833,0.1035
6.9833,0.10375
6.9867,0.104
6.9883,0.10425
7.0017,0.1045
7.0017,0.10475
7.0083,0.105
7.0067,0.10525
6.9983,0.1055
6.9983,0.10575
6.9417,0.106
6.9383,0.10625
6.8533,0.1065
6.85,0.10675
6.8817,0.107
6.8867,0.10725
6.995,0.1075
7,0.10775
7.08,0.108
7.0817,0.10825
7.09,0.1085
7.08,0.10875
7.0467,0.109
7.0467,0.10925
7.03,0.1095
7.03,0.10975
7.0233,0.11
7.025,0.11025
7.0217,0.1105
7.02,0.11075
7.0283,0.111
7.0283,0.11125
7.0333,0.1115
7.0317,0.11175
7.0367,0.112
7.0367,0.11225
7.055,0.1125
7.07,0.11275
7.0517,0.113
7.0017,0.11325
7.1533,0.1135
7.2633,0.11375
6.975,0.114
7.2183,0.11425
6.805,0.1145
6.7883,0.11475
6.7333,0.115
6.735,0.11525
6.8833,0.1155
6.8867,0.11575
6.935,0.116
6.9367,0.11625
6.9517,0.1165
6.9517,0.11675
6.9617,0.117
